rank,title,release_year,content_rating,rating,runtime_minutes,rating_scaled
227,The Best Years of Our Lives,1946,Approved,8.1,170,81.0
228,The Exorcist,1973,R,8.1,122,81.0
229,A Man Escaped,1956,Not Rated,8.2,101,82.0
230,Rush,2013,R,8.1,123,81.0
231,The Incredibles,2004,PG,8.0,115,80.0
232,The Wizard of Oz,1939,G,8.1,102,81.0
233,Network,1976,R,8.1,121,81.0
234,Stand by Me,1986,R,8.1,89,81.0
235,Hachi: A Dog's Tale,2009,G,8.1,93,81.0
236,The Sound of Music,1965,G,8.1,172,81.0
237,My Father and My Son,2005,Not Rated,8.2,112,82.0
238,The Handmaiden,2016,Not Rated,8.1,145,81.0
239,To Be or Not to Be,1942,Approved,8.1,99,81.0
240,Into the Wild,2007,R,8.1,148,81.0
241,The Battle of Algiers,1966,Not Rated,8.1,121,81.0
242,The Iron Giant,1999,PG,8.1,86,81.0
243,The Grapes of Wrath,1940,Approved,8.1,129,81.0
244,Groundhog Day,1993,PG,8.0,101,80.0
245,Amores Perros,2000,R,8.0,154,80.0
246,Rebecca,1940,Approved,8.1,130,81.0
247,The Help,2011,PG-13,8.1,146,81.0
248,Cool Hand Luke,1967,Approved,8.0,127,80.0
249,A Silent Voice: The Movie,2016,Not Rated,8.1,130,81.0
250,"Paris, Texas",1984,R,8.1,145,81.0
